Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.56     0.00      555     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator=(std::vector<Sequence, std::allocator<Sequence> >&&)
  0.00      5.56     0.00      555     0.00     0.00  void std::__alloc_on_move<std::allocator<Sequence> >(std::allocator<Sequence>&, std::allocator<Sequence>&)
  0.00      5.56     0.00      555     0.00     0.00  void std::__do_alloc_on_move<std::allocator<Sequence> >(std::allocator<Sequence>&, std::allocator<Sequence>&, std::integral_constant<bool, true>)
  0.00      5.56     0.00      553     0.00     0.00  void __gnu_cxx::new_allocator<Sequence>::construct<Sequence, Sequence const&>(Sequence*, Sequence const&)
  0.00      5.56     0.00      553     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Sequence> >::__construct_helper<Sequence, Sequence const&>::value, void>::type std::allocator_traits<std::allocator<Sequence> >::_S_construct<Sequence, Sequence const&>(std::allocator<Sequence>&, Sequence*, Sequence const&)
  0.00      5.56     0.00      553     0.00     0.00  _ZNSt16allocator_traitsISaI8SequenceEE9constructIS0_IRKS0_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS1_PT_DpOS6_
  0.00      5.56     0.00      553     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::push_back(Sequence const&)
  0.00      5.56     0.00      509     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::deallocate(Sequence*, unsigned long)
  0.00      5.56     0.00      509     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::allocate(unsigned long, void const*)
  0.00      5.56     0.00      509     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_allocate(unsigned long)
  0.00      5.56     0.00      506     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00      506     0.00     0.00  Sequence* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<Sequence const*, Sequence*>(Sequence const*, Sequence const*, Sequence*)
  0.00      5.56     0.00      506     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00      506     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::end()
  0.00      5.56     0.00      506     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::begin()
  0.00      5.56     0.00      506     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00      506     0.00     0.00  Sequence* std::__copy_move_a<false, Sequence const*, Sequence*>(Sequence const*, Sequence const*, Sequence*)
  0.00      5.56     0.00      506     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00      506     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > std::copy<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
