Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.62     0.00      586     0.00     0.00  std::string const& std::forward<std::string const&>(std::remove_reference<std::string const&>::type&)
  0.00      2.62     0.00      586     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      2.62     0.00      574     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sequence> >::_S_propagate_on_copy_assign()
  0.00      2.62     0.00      574     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::capacity() const
  0.00      2.62     0.00      574     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator=(std::vector<Sequence, std::allocator<Sequence> > const&)
  0.00      2.62     0.00      514     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::deallocate(Sequence*, unsigned long)
  0.00      2.62     0.00      514     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::allocate(unsigned long, void const*)
  0.00      2.62     0.00      514     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_allocate(unsigned long)
  0.00      2.62     0.00      428     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::max_size() const
  0.00      2.62     0.00      428     0.00     0.00  std::move_iterator<Sequence*>::move_iterator(Sequence*)
  0.00      2.62     0.00      428     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Sequence> >::__maxsize_helper<std::allocator<Sequence> const>::value, unsigned long>::type std::allocator_traits<std::allocator<Sequence> >::_S_max_size<std::allocator<Sequence> const>(std::allocator<Sequence> const&)
  0.00      2.62     0.00      428     0.00     0.00  std::allocator_traits<std::allocator<Sequence> >::max_size(std::allocator<Sequence> const&)
  0.00      2.62     0.00      428     0.00     0.00  std::move_iterator<Sequence*> std::__make_move_if_noexcept_iterator<Sequence*, std::move_iterator<Sequence*> >(Sequence*)
  0.00      2.62     0.00      411     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      411     0.00     0.00  Sequence* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<Sequence const*, Sequence*>(Sequence const*, Sequence const*, Sequence*)
  0.00      2.62     0.00      411     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      411     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::end()
  0.00      2.62     0.00      411     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::begin()
